date,curah_hujan,kecamatan
20210109,4.34,Lhoksukon
20210110,4.98,Lhoksukon
20210111,10.27,Lhoksukon
20210112,13.61,Lhoksukon
20210113,11.26,Lhoksukon
20210114,2.06,Lhoksukon
20210115,3.0,Lhoksukon
20210116,16.65,Lhoksukon
20210117,6.08,Lhoksukon
20210118,1.26,Lhoksukon
20210119,2.02,Lhoksukon
20210120,1.73,Lhoksukon
20210121,0.06,Lhoksukon
20210122,1.16,Lhoksukon
20210123,0.8,Lhoksukon
20210124,4.86,Lhoksukon
20210125,5.05,Lhoksukon
20210126,0.77,Lhoksukon
20210127,1.65,Lhoksukon
20210128,0.9,Lhoksukon
20210129,0.82,Lhoksukon
20210130,0.39,Lhoksukon
20210131,0.25,Lhoksukon
20210201,2.24,Lhoksukon
20210202,3.17,Lhoksukon
20210203,0.56,Lhoksukon
20210204,0.21,Lhoksukon
20210205,0.34,Lhoksukon
20210206,0.93,Lhoksukon
20210207,0.72,Lhoksukon
20210208,0.69,Lhoksukon
20210209,24.1,Lhoksukon
20210210,10.54,Lhoksukon
20210211,3.61,Lhoksukon
20210212,0.49,Lhoksukon
20210213,16.83,Lhoksukon
20210214,1.64,Lhoksukon
20210215,0.05,Lhoksukon
20210216,0.0,Lhoksukon
20210217,0.0,Lhoksukon
20210218,0.01,Lhoksukon
20210219,0.07,Lhoksukon
20210220,0.48,Lhoksukon
20210221,0.05,Lhoksukon
20210222,0.01,Lhoksukon
20210223,0.0,Lhoksukon
20210224,0.31,Lhoksukon
20210225,0.27,Lhoksukon
20210226,0.1,Lhoksukon
20210227,0.03,Lhoksukon
20210228,0.0,Lhoksukon
20210301,0.01,Lhoksukon
20210302,0.5,Lhoksukon
20210303,3.27,Lhoksukon
20210304,1.97,Lhoksukon
20210305,1.75,Lhoksukon
20210306,3.12,Lhoksukon
20210307,2.2,Lhoksukon
20210308,0.34,Lhoksukon
20210309,0.59,Lhoksukon
20210310,0.96,Lhoksukon
20210311,0.16,Lhoksukon
20210312,24.81,Lhoksukon
20210313,8.25,Lhoksukon
20210314,1.03,Lhoksukon
20210315,2.71,Lhoksukon
20210316,2.53,Lhoksukon
20210317,1.55,Lhoksukon
20210318,1.09,Lhoksukon
20210319,0.56,Lhoksukon
20210320,0.1,Lhoksukon
20210321,0.11,Lhoksukon
20210322,2.79,Lhoksukon
20210323,16.32,Lhoksukon
20210324,6.94,Lhoksukon
20210325,3.8,Lhoksukon
20210326,10.07,Lhoksukon
20210327,19.9,Lhoksukon
20210328,14.21,Lhoksukon
20210329,21.51,Lhoksukon
20210330,1.94,Lhoksukon
20210331,4.55,Lhoksukon
20210401,3.91,Lhoksukon
20210402,1.57,Lhoksukon
20210403,2.72,Lhoksukon
20210404,29.23,Lhoksukon
20210405,16.93,Lhoksukon
20210406,22.43,Lhoksukon
20210407,17.98,Lhoksukon
20210408,0.48,Lhoksukon
20210409,0.54,Lhoksukon
20210410,1.52,Lhoksukon
20210411,0.72,Lhoksukon
20210412,2.02,Lhoksukon
20210413,3.16,Lhoksukon
20210414,4.63,Lhoksukon
20210415,1.95,Lhoksukon
20210416,1.29,Lhoksukon
20210417,1.04,Lhoksukon
20210418,0.47,Lhoksukon
20210419,4.09,Lhoksukon
20210420,0.32,Lhoksukon
20210421,0.75,Lhoksukon
20210422,1.99,Lhoksukon
20210423,2.8,Lhoksukon
20210424,4.14,Lhoksukon
20210425,1.27,Lhoksukon
20210426,1.45,Lhoksukon
20210427,1.42,Lhoksukon
20210428,1.7,Lhoksukon
20210429,1.52,Lhoksukon
20210430,2.34,Lhoksukon
20210501,0.81,Lhoksukon
20210502,1.45,Lhoksukon
20210503,1.51,Lhoksukon
20210504,2.44,Lhoksukon
20210505,2.93,Lhoksukon
20210506,4.74,Lhoksukon
20210507,2.49,Lhoksukon
20210508,3.4,Lhoksukon
20210509,0.36,Lhoksukon
20210510,0.89,Lhoksukon
20210511,1.25,Lhoksukon
20210512,1.6,Lhoksukon
20210513,7.33,Lhoksukon
20210514,5.56,Lhoksukon
20210515,4.64,Lhoksukon
20210516,2.65,Lhoksukon
20210517,4.07,Lhoksukon
20210518,1.94,Lhoksukon
20210519,1.29,Lhoksukon
